FOODID;FOODNAME;FOODTYPE;PROCESS;EDPORT;IGCLASS;IGCLASSP;FUCLASS;FUCLASSP
1;SOKERI;FOOD;IND;100;SUGARSYR;SUGARTOT;SUGADD;SUGARTOT
2;FRUKTOOSI, HEDELMÄSOKERI;FOOD;IND;100;SUGARSYR;SUGARTOT;SUGADD;SUGARTOT
3;SIIRAPPI;FOOD;IND;100;SUGARSYR;SUGARTOT;SUGADD;SUGARTOT
4;HUNAJA;FOOD;RAW;100;SUGARSYR;SUGARTOT;SUGADD;SUGARTOT
5;MAKEINEN, KARAMELLI;FOOD;IND;100;SWEET;SUGARTOT;SWEET;SUGARTOT
6;SUKLAA KESKIARVO;FOOD;IND;100;CHOCOLAT;SUGARTOT;CHOCOL;SUGARTOT
7;SUKLAAKONVEHTI;FOOD;IND;100;CHOCOLAT;SUGARTOT;CHOCOL;SUGARTOT
8;LAKRITSI;FOOD;IND;100;SWEET;SUGARTOT;SWEET;SUGARTOT
9;MAKEINEN, MARMELADIMAKEINEN;FOOD;IND;100;SWEET;SUGARTOT;SWEET;SUGARTOT
10;MARSIPAANI MANTELIMASSA;FOOD;IND;100;SWEET;SUGARTOT;SWEET;SUGARTOT
11;MAKEINEN, TOFFEE;FOOD;IND;100;SWEET;SUGARTOT;SWEET;SUGARTOT
12;MAKEINEN, SALMIAKKIPASTILLI;FOOD;IND;100;SWEET;SUGARTOT;SWEET;SUGARTOT
14;SUKLAAPATUKKA SUKLAINEN, KESKIARVO;FOOD;IND;100;CHOCOLAT;SUGARTOT;CHOCOL;SUGARTOT
20;KAAKAOJAUHE, EI LISÄTTYÄ SOKERIA;FOOD;IND;100;INGRMIS;INGRTOT;CHOCOL;SUGARTOT
21;KAAKAOJAUHE, SOKEROITU;FOOD;IND;100;INGRMIS;INGRTOT;CHOCOL;SUGARTOT
24;SORBITOLI;FOOD;IND;100;SWEAGE;INGRTOT;INGRMISC;MISCTOT
25;LIIVATE;FOOD;X;100;INGRMIS;INGRTOT;INGRMISC;MISCTOT
26;HIIVA;FOOD;X;100;INGRMIS;INGRTOT;INGRMISC;MISCTOT
27;JAUHO, MAISSITÄRKKELYS;FOOD;IND;100;STARCH;CERTOT;INGRMISC;MISCTOT
28;SINAPPI;FOOD;IND;100;FLAVSAUC;FLAVTOT;SPISAUCE;MISCTOT
30;RUOKASUOLA, JODIOITU;FOOD;IND;100;SALT;INGRTOT;SPICES;MISCTOT
31;MAUSTEKASTIKE, SOIJAKASTIKE;FOOD;IND;100;FLAVSAUC;FLAVTOT;SPISAUCE;MISCTOT
32;SUKLAA TUMMA;FOOD;IND;100;CHOCOLAT;SUGARTOT;CHOCOL;SUGARTOT
33;SUKLAA, MAITOSUKLAA;FOOD;IND;100;CHOCOLAT;SUGARTOT;CHOCOL;SUGARTOT
34;HALVA SEESAMSIEMENVALMISTE;FOOD;IND;100;SWEET;SUGARTOT;SWEET;SUGARTOT
35;MAKEINEN, SOKERITON;FOOD;IND;100;SWEET;SUGARTOT;SWEET;SUGARTOT
36;MINERAALISUOLA, KESKIARVO;FOOD;IND;100;SALT;INGRTOT;SPICES;MISCTOT
37;SUKLAA, SOKERITON, KEINOTEKOISESTI MAKEUTETTU;FOOD;IND;100;CHOCOLAT;SUGARTOT;CHOCOL;SUGARTOT
38;LIHALIEMIJAUHE/TIIVISTE;FOOD;IND;100;FLAVSAUC;FLAVTOT;SPISAUCE;MISCTOT
39;MAKEUTUSAINE, ASPARTAAMI, JAUHE;FOOD;IND;100;SWEAGE;INGRTOT;INGRMISC;MISCTOT
40;VÄLIPALAPATUKKA, KUITUINEN;FOOD;IND;100;SWEET;SUGARTOT;SWEET;SUGARTOT
43;RUISMALLAS;FOOD;DRIE;100;INGRMIS;INGRTOT;INGRMISC;MISCTOT
44;SUKLAAPATUKKA TÄYTESUKLAA, KESKIARVO;FOOD;IND;100;CHOCOLAT;SUGARTOT;CHOCOL;SUGARTOT
