THSCODE;DESCRIPT;LANG
ADDFREE;no additives;EN
ALCFREE;non-alcoholic;EN
ARTSWEET;artificially sweetened;EN
CHOLFREE;cholesterol-free;EN
EGGFREE;egg-free;EN
FATFREE;fat-free;EN
FRUSWEET;fructose sweetened;EN
FUNCTION;functional;EN
GLUTFREE;gluten-free;EN
HIGHFIBR;high-fibre;EN
HIGHSALT;strongly salted;EN
LACOVEGE;lacto-ovovegetarian;EN
LACSFREE;lactose-free;EN
LACVEGE;lacto-vegetarian;EN
LOWCHOL;low-cholesterol;EN
LOWENER;low-energy, light;EN
LOWFAT;low-fat;EN
LOWLACS;low-lactose;EN
LOWPROT;low-protein;EN
LOWSALT;reduced salt;EN
MILKFREE;milk-free;EN
NAGLUFRE;naturally gluten-free;EN
NOCOLOUR;no colouring agents;EN
NOPRESER;no preservatives;EN
SALTFREE;salt-free;EN
SOYAFREE;soya-free;EN
SUCSFREE;sugar-free;EN
UNSWEET;unsweetened;EN
VEGAN;vegan;EN
VITAMADD;vitamins added;EN
