THSCODE;DESCRIPT;LANG
ADDFREE;lisäaineeton;FI
ALCFREE;alkoholiton;FI
ARTSWEET;keinotekoisesti makeutettu;FI
CHOLFREE;kolesteroliton;FI
EGGFREE;munaton;FI
FATFREE;rasvaton;FI
FRUSWEET;fruktoosilla makeutettu;FI
FUNCTION;terveysvaikutteinen;FI
GLUTFREE;gluteeniton;FI
HIGHFIBR;runsaskuituinen;FI
HIGHSALT;voimakassuolainen;FI
LACOVEGE;lakto-ovo-vegetaarinen;FI
LACSFREE;laktoositon;FI
LACVEGE;laktovegetaarinen;FI
LOWCHOL;vähäkolesterolinen;FI
LOWENER;vähäenerginen, kevyt;FI
LOWFAT;vähärasvainen;FI
LOWLACS;vähälaktoosinen;FI
LOWPROT;vähäproteiininen;FI
LOWSALT;vähennetty suolaa;FI
MILKFREE;maidoton;FI
NAGLUFRE;luontaisesti gluteeniton;FI
NOCOLOUR;väriaineeton;FI
NOPRESER;säilöntäaineeton;FI
SALTFREE;suolaton;FI
SOYAFREE;soijaton;FI
SUCSFREE;sokeriton;FI
UNSWEET;makeuttamaton;FI
VEGAN;vegaaninen;FI
VITAMADD;vitaminoitu;FI
