THSCODE;DESCRIPT;LANG
ADDFREE;utan tillsatsämne;SV
ALCFREE;alkoholfri;SV
ARTSWEET;artificiellt sötad;SV
CHOLFREE;kolesterolfri;SV
EGGFREE;äggfri;SV
FATFREE;fettfri;SV
FRUSWEET;sötad med fruktos;SV
FUNCTION;functionellt;SV
GLUTFREE;glutenfri;SV
HIGHFIBR;fiberrik;SV
HIGHSALT;kraftigt saltad;SV
LACOVEGE;lakto-ovovegetarisk;SV
LACSFREE;laktosfri;SV
LACVEGE;laktovegetarisk;SV
LOWCHOL;låg kolesterolhalt;SV
LOWENER;låg energihalt, lätt;SV
LOWFAT;låg fetthalt;SV
LOWLACS;låg laktoshalt;SV
LOWPROT;låg proteinhalt;SV
LOWSALT;mindre salt;SV
MILKFREE;mjölkfri;SV
NAGLUFRE;naturligt glutenfri;SV
NOCOLOUR;utan färgämne;SV
NOPRESER;utan konserveringsmedel;SV
SALTFREE;utan salt;SV
SOYAFREE;sojafri;SV
SUCSFREE;sockerfri;SV
UNSWEET;osötad;SV
VEGAN;veganisk;SV
VITAMADD;vitaminerad;SV
